"ID_VIV","ID_PER","UPM","VIV_SEL","R_SEL","ID_VIVT","ID_PERT","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","LOC","CD","NOM_CD","PER","R_DEF","H_MUD","S_MUD","TIPO_CUEST","N_ENT","SEXO","EDAD","BP1_1","BP1_2_01","BP1_2_02","BP1_2_03","BP1_2_04","BP1_2_05","BP1_2_06","BP1_2_07","BP1_2_08","BP1_2_09","BP1_2_10","BP1_2_11","BP1_2_12","BP1_3","BP1_4_1","BP1_4_2","BP1_4_3","BP1_4_4","BP1_4_5","BP1_4_6","BP1_4_7","BP1_4_8","BP1_5_1","BP1_5_2","BP1_5_3","BP1_5_4","BP1_5_5","BP1_6_01","BP1_6_02","BP1_6_03","BP1_6_04","BP1_6_05","BP1_6_06","BP1_6_07","BP1_6_08","BP1_6_09","BP1_6_10","BP1_6_11","BP1_6_12","BP1_6_13","BP1_6_99","BP1_7_1","BP1_7_2","BP1_7_3","BP1_7_4","BP1_7_5","BP1_7_6","BP1_8_1","BP1_9_1","BP1_8_2","BP1_9_2","BP1_8_3","BP1_9_3","BP1_8_4","BP1_9_4","BP1_8_5","BP1_9_5","BP1_8_6","BP1_9_6","BP2_1","BP2_2_01","BP2_2_02","BP2_2_03","BP2_2_04","BP2_2_05","BP2_2_06","BP2_2_07","BP2_2_08","BP2_2_09","BP2_2_10","BP2_2_11","BP2_2_12","BP2_2_13","BP2_2_14","BP2_2_15","BP2_2_16","BP2_2_17","BP2_2_18","BP2_3_1","BP2_3_2","BP2_3_3","BP2_3_4","BP2_3_5","BP2_3_6","BP2_3_7","BP2_4_01","BP2_4_02","BP2_4_03","BP2_4_04","BP2_4_05","BP2_4_06","BP2_4_07","BP2_4_08","BP2_4_09","BP2_4_10","BP2_4_11","BP3_1_01","BP3_1_02","BP3_1_03","BP3_1_04","BP3_1_05","BP3_1_06","BP3_1_07","BP3_1_08","BP3_1_09","BP3_1_10","BP3_1_11","BP3_1_12","BP3_1_13","BP3_1_14","BP3_1_15","BP3_1_16","BP3_1_99","BP3_2","BP3_2A","BP4_1_1","BP4_1_2","BP4_1_3","FAC_VIV","FAC_SEL","DOMINIO","EST","UPM_DIS","EST_DIS"
"2804506.0097.53","2804506.0097.53.01","2804506","53","01","-","-","28","TAMAULIPAS","027","NUEVO LAREDO","0001","48","NUEVO LAREDO","0125","01",0,0,"-",4,"1","79","1","1","3","1","3","3","1","1","3","1","1","3","3","2","2","2","2","2","2","1","2","2","2","2","2","3","2","1","0","0","0","0","0","0","1","0","0","1","0","0","0","2","1","1","1","2","2","","","2","2","2","2","1","2","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","2",2,"1","1","1",415,1245,"U","2","04850","0272"
"2804514.0046.54","2804514.0046.54.03","2804514","54","03","-","-","28","TAMAULIPAS","027","NUEVO LAREDO","0001","48","NUEVO LAREDO","0125","01",0,0,"-",2,"1","20","1","1","1","2","1","3","1","1","1","3","2","1","3","2","2","1","2","1","1","2","2","2","1","1","1","1","3","0","1","1","0","0","1","0","0","0","0","0","0","0","0","2","1","1","1","2","2","","","3","3","3","2","3","3","","","","","1","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","3",1,"3","2","2",460,1380,"U","2","04851","0272"
"2804514.0073.52","2804514.0073.52.01","2804514","52","01","-","-","28","TAMAULIPAS","027","NUEVO LAREDO","0001","48","NUEVO LAREDO","0125","01",0,0,"-",2,"1","37","2","1","1","2","3","3","2","3","3","1","1","2","3","1","1","1","2","1","1","1","2","2","1","1","1","1","2","1","0","0","0","0","0","0","1","1","0","0","0","0","0","2","1","1","1","2","1","","","3","3","3","4","4","4","","","4","4","1","1","0","1","0","1","0","0","0","1","0","0","0","0","1","1","0","0","0","0","1","0","1","1","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","0","0","0","0","1","0","1","1","1","0","0","0","3",2,"2","4","2",460,920,"U","2","04851","0272"
"2804514.0112.51","2804514.0112.51.02","2804514","51","02","-","-","28","TAMAULIPAS","027","NUEVO LAREDO","0001","48","NUEVO LAREDO","0125","01",0,0,"-",2,"1","43","1","1","1","1","3","3","1","1","1","1","1","3","3","1","2","2","2","2","2","2","2","2","1","1","1","3","2","0","0","1","0","1","0","0","0","0","0","1","0","0","0","2","2","1","1","2","1","","","","","1","1","2","3","","","4","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1",2,"1","1","1",460,920,"U","2","04851","0272"
"2804514.0135.55","2804514.0135.55.03","2804514","55","03","-","-","28","TAMAULIPAS","027","NUEVO LAREDO","0001","48","NUEVO LAREDO","0125","01",0,0,"-",2,"2","42","1","1","1","2","3","3","3","3","3","3","2","3","3","3","1","2","2","1","1","1","2","2","1","1","2","1","2","1","1","0","0","0","1","0","0","0","0","0","0","0","0","2","2","1","1","2","2","","","","","3","3","4","4","","","","","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","1","1","0","0","0","2",2,"2","2","2",460,1380,"U","2","04851","0272"
"2804517.0003.54","2804517.0003.54.02","2804517","54","02","-","-","28","TAMAULIPAS","027","NUEVO LAREDO","0001","48","NUEVO LAREDO","0125","01",0,0,"-",4,"2","66","1","1","3","1","3","3","1","1","3","3","1","1","3","4","2","2","2","2","1","1","2","2","1","2","2","3","2","1","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","1","4","2","3","2","2","2","1","1","1","1","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","2",2,"1","1","2",492,984,"U","2","04852","0272"
"2804517.0059.51","2804517.0059.51.01","2804517","51","01","-","-","28","TAMAULIPAS","027","NUEVO LAREDO","0001","48","NUEVO LAREDO","0125","01",0,0,"-",4,"2","64","2","1","3","1","3","3","1","2","2","2","2","2","2","3","2","2","2","2","2","1","2","2","1","1","1","3","2","0","0","1","0","1","0","1","0","0","0","0","0","0","0","2","1","2","1","1","1","","","3","2","","","2","3","2","2","3","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","0","0","1","0","0","0","1","1","1","0","0","0","3",2,"2","2","2",492,1476,"U","2","04852","0272"
"2804517.0089.52","2804517.0089.52.05","2804517","52","05","-","-","28","TAMAULIPAS","027","NUEVO LAREDO","0001","48","NUEVO LAREDO","0125","01",0,1,"-",4,"2","42","2","1","3","1","3","3","1","1","1","3","1","1","1","3","2","2","2","2","2","1","2","2","2","2","2","2","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","0","0","0","0","1","0","0","0","1","0","0","0","2",1,"2","2","2",492,1968,"U","2","04852","0272"
"2804517.0106.53","2804517.0106.53.02","2804517","53","02","-","-","28","TAMAULIPAS","027","NUEVO LAREDO","0001","48","NUEVO LAREDO","0125","01",0,0,"-",4,"2","45","2","2","1","2","3","3","2","2","2","2","2","2","2","4","2","2","2","2","2","1","2","2","2","1","1","1","2","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","2","1","1","2","1","4","4","","","4","4","2","2","","","2","2","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","0","1","0","0","1","0","0","0","0","2",1,"3","3","3",492,984,"U","2","04852","0272"
"2804519.0010.54","2804519.0010.54.02","2804519","54","02","-","-","28","TAMAULIPAS","027","NUEVO LAREDO","0001","48","NUEVO LAREDO","0125","01",0,0,"-",3,"1","53","1","1","3","3","3","3","1","3","3","3","3","3","1","4","2","2","2","2","2","1","2","2","2","2","2","3","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","1","1","1","1","1","1","2","1","2","1","1","1","2","2","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","",2,"1","1","4",461,923,"U","2","04853","0272"
