"ID_VIV","ID_PER","UPM","VIV_SEL","R_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","LOC","CD","NOM_CD","PER","R_DEF","H_MUD","S_MUD","TIPO_CUEST","N_ENT","SEXO","EDAD","BP1_1","BP1_2_01","BP1_2_02","BP1_2_03","BP1_2_04","BP1_2_05","BP1_2_06","BP1_2_07","BP1_2_08","BP1_2_09","BP1_2_10","BP1_2_11","BP1_2_12","BP1_3","BP1_4_1","BP1_4_2","BP1_4_3","BP1_4_4","BP1_4_5","BP1_4_6","BP1_4_7","BP1_4_8","BP1_5_1","BP1_5_2","BP1_5_3","BP1_5_4","BP1_5_5","BP1_6_01","BP1_6_02","BP1_6_03","BP1_6_04","BP1_6_05","BP1_6_06","BP1_6_07","BP1_6_08","BP1_6_09","BP1_6_10","BP1_6_11","BP1_6_12","BP1_6_13","BP1_6_99","BP1_7_1","BP1_7_2","BP1_7_3","BP1_7_4","BP1_7_5","BP1_7_6","BP1_8_1","BP1_9_1","BP1_8_2","BP1_9_2","BP1_8_3","BP1_9_3","BP1_8_4","BP1_9_4","BP1_8_5","BP1_9_5","BP1_8_6","BP1_9_6","BP2_1","BP2_2_01","BP2_2_02","BP2_2_03","BP2_2_04","BP2_2_05","BP2_2_06","BP2_2_07","BP2_2_08","BP2_2_09","BP2_2_10","BP2_2_11","BP2_2_12","BP2_2_13","BP2_2_14","BP2_2_15","BP2_2_16","BP2_2_17","BP2_2_18","BP2_3_1","BP2_3_2","BP2_3_3","BP2_3_4","BP2_3_5","BP2_3_6","BP2_3_7","BP2_4_01","BP2_4_02","BP2_4_03","BP2_4_04","BP2_4_05","BP2_4_06","BP2_4_07","BP2_4_08","BP2_4_09","BP2_4_10","BP2_4_11","BP3_1_01","BP3_1_02","BP3_1_03","BP3_1_04","BP3_1_05","BP3_1_06","BP3_1_07","BP3_1_08","BP3_1_09","BP3_1_10","BP3_1_11","BP3_1_12","BP3_1_13","BP3_1_14","BP3_1_15","BP3_1_16","BP3_1_99","BP3_2","BP3_2A","BP4_1_1","BP4_1_2","BP4_1_3","FAC_VIV","FAC_SEL","DOMINIO","EST","UPM_DIS","EST_DIS","REG_CD"
"1903459.073","1903459.073.01","1903459","03","01","19","NUEVO LEON","026","GUADALUPE","0001","67","GUADALUPE","0124","01",0,0,"-",1,"2","43","2","1","2","1","3","1","2","2","2","2","1","2","1","4","1","1","2","2","1","2","2","2","2","2","2","2","2","1","0","1","0","0","0","0","1","0","0","0","0","0","0","1","2","1","1","1","1","2","2","","","3","2","1","1","2","2","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","1","08","07","09",1354,5415,"U","2","0003911","105",""
"1903459.118","1903459.118.02","1903459","04","02","19","NUEVO LEON","026","GUADALUPE","0001","67","GUADALUPE","0124","01",0,0,"-",1,"2","22","1","1","1","1","3","1","3","3","3","1","1","1","3","1","2","2","2","2","2","2","2","2","2","2","2","2","2","0","0","1","0","0","0","0","1","1","0","0","0","0","0","2","2","2","2","2","2","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","4","2","10","10","99",1354,2708,"U","2","0003911","105",""
"1903459.120","1903459.120.01","1903459","05","01","19","NUEVO LEON","026","GUADALUPE","0001","67","GUADALUPE","0124","01",0,0,"-",1,"1","62","2","1","1","1","3","1","1","3","1","1","1","1","1","3","2","2","2","2","1","2","2","1","2","2","2","2","2","0","1","0","0","0","0","0","1","0","1","0","0","0","0","1","1","1","1","1","1","2","2","9","2","2","2","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","2","1","08","06","08",1354,1354,"U","2","0003911","105",""
"1903470.008","1903470.008.02","1903470","01","02","19","NUEVO LEON","026","GUADALUPE","0001","67","GUADALUPE","0124","01",0,0,"-",3,"2","26","1","1","1","1","3","2","1","1","1","1","1","3","1","2","1","1","1","2","2","1","2","2","2","2","2","3","2","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","2","1","1","1","2","3","2","3","","","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","4","2","10","07","05",1380,2760,"U","2","0003912","105",""
"1903470.035","1903470.035.02","1903470","02","02","19","NUEVO LEON","026","GUADALUPE","0001","67","GUADALUPE","0124","01",0,0,"-",3,"2","29","2","1","1","1","3","2","2","1","1","3","1","1","2","1","2","1","2","2","1","1","2","1","2","2","2","2","2","1","0","1","0","0","0","0","1","0","0","0","0","0","0","2","1","1","1","1","1","","","2","3","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","3","2","07","05","05",1380,4139,"U","2","0003912","105",""
"1903470.075","1903470.075.05","1903470","04","05","19","NUEVO LEON","026","GUADALUPE","0001","67","GUADALUPE","0124","01",0,0,"-",3,"2","40","2","1","1","2","3","2","2","2","2","3","1","2","2","3","1","1","2","2","2","2","2","2","2","3","2","2","2","1","0","1","0","0","0","0","0","0","0","1","0","0","0","2","1","1","1","1","2","","","2","3","3","2","2","3","1","2","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","3","2","07","07","06",1380,6899,"U","2","0003912","105",""
"1903470.096","1903470.096.02","1903470","05","02","19","NUEVO LEON","026","GUADALUPE","0001","67","GUADALUPE","0124","01",0,0,"-",3,"1","23","1","1","1","1","3","1","1","1","1","3","1","2","1","1","1","1","2","2","1","1","2","1","2","2","2","2","2","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","1","1","1","2","2","1","2","1","2","2","2","2","2","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","1","1","0","1","0","1","1","0","0","0","0","0","0","4","1","07","09","04",1380,2760,"U","2","0003912","105",""
"1903470.116","1903470.116.01","1903470","03","01","19","NUEVO LEON","026","GUADALUPE","0001","67","GUADALUPE","0124","01",0,0,"-",3,"1","55","1","1","1","1","3","1","1","1","1","1","3","1","1","1","2","1","2","2","2","2","2","2","2","2","2","2","2","1","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","3","3","3","4","3","3","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","2","09","07","08",1380,1380,"U","2","0003912","105",""
"1903524.012","1903524.012.01","1903524","03","01","19","NUEVO LEON","026","GUADALUPE","0001","67","GUADALUPE","0124","01",0,0,"-",4,"1","73","9","2","2","2","3","3","3","2","2","2","2","2","3","4","2","1","2","2","2","2","2","2","1","2","2","3","2","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","2","1","1","2","1","3","3","","","2","1","2","1","","","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","1","0","1","0","0","0","0","1","1","0","1","0","0","0","0","3","2","10","10","10",939,939,"U","3","0003913","106",""
"1903524.065","1903524.065.01","1903524","02","01","19","NUEVO LEON","026","GUADALUPE","0001","67","GUADALUPE","0124","01",0,0,"-",4,"2","54","2","2","1","2","3","2","1","1","2","2","3","1","1","3","1","1","1","1","1","1","2","2","1","1","2","3","2","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","2","1","1","2","1","3","2","","","2","2","2","2","","","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","4","1","06","06","06",939,939,"U","3","0003913","106",""
