"ID_VIV","ID_PER","UPM","VIV_SEL","R_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","LOC","CD","NOM_CD","PER","R_DEF","H_MUD","S_MUD","TIPO_CUEST","N_ENT","SEXO","EDAD","BP1_1","BP1_2_01","BP1_2_02","BP1_2_03","BP1_2_04","BP1_2_05","BP1_2_06","BP1_2_07","BP1_2_08","BP1_2_09","BP1_2_10","BP1_2_11","BP1_2_12","BP1_3","BP1_4_1","BP1_4_2","BP1_4_3","BP1_4_4","BP1_4_5","BP1_4_6","BP1_4_7","BP1_4_8","BP1_5_1","BP1_5_2","BP1_5_3","BP1_5_4","BP1_5_5","BP1_6_1","BP1_6_2","BP1_6_3","BP1_6_4","BP1_6_5","BP1_6_6","BP1_7_1","BP1_7_2","BP1_7_3","BP1_7_4","BP1_7_5","BP1_8_1","BP1_9_1","BP1_8_2","BP1_9_2","BP1_8_3","BP1_9_3","BP1_8_4","BP1_9_4","BP1_8_5","BP1_9_5","BP2_1","BP2_2_01","BP2_2_02","BP2_2_03","BP2_2_04","BP2_2_05","BP2_2_06","BP2_2_07","BP2_2_08","BP2_2_09","BP2_2_10","BP2_2_11","BP2_2_12","BP2_2_13","BP2_2_14","BP2_2_15","BP2_2_16","BP2_2_17","BP2_2_18","BP2_3_1","BP2_3_2","BP2_3_3","BP2_3_4","BP2_3_5","BP2_3_6","BP2_3_7","BP2_4_01","BP2_4_02","BP2_4_03","BP2_4_04","BP2_4_05","BP2_4_06","BP2_4_07","BP2_4_08","BP2_4_09","BP2_4_10","BP2_4_11","BP3_1_01","BP3_1_02","BP3_1_03","BP3_1_04","BP3_1_05","BP3_1_06","BP3_1_07","BP3_1_08","BP3_1_09","BP3_1_10","BP3_1_11","BP3_1_12","BP3_1_13","BP3_1_14","BP3_1_15","BP3_1_16","BP3_1_99","BP3_2","BP3_2A","BP3_3","BP3_4","BP3_5","BP3_6","BP4_1_1","BP4_1_2","BP4_1_3","BP4_1_4","BP4_1_5","BP4_1_6","BP4_1_7","BP4_1_8","BP4_1_9","BP5_1","FAC_VIV","FAC_SEL","DOMINIO","EST","UPM_DIS","EST_DIS","REG_CD"
"0100178.061","0100178.061.03","0100178","02","03","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,0,"-",3,"1","27","1","1","1","1","3","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","1","1","1","0","1","0","0","0","0","1","1","1","0","1","0","0","0","3",1,"1","2","2","","2","2","2","2","2","2","2","2","2","1",1051,4204,"U","2","02572","00135",""
"0100178.091","0100178.091.02","0100178","03","02","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,0,"-",3,"2","74","2","1","3","2","3","3","1","2","3","3","1","3","3","3","2","1","2","2","2","2","2","2","2","1","3","3","2","2","2","2","2","2","2","2","2","1","1","1","","","","","3","2","3","2","4","4","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","0","1","0","1","0","0","0","1","0","0","1","0","0","4",2,"1","2","1","2","2","2","2","2","2","2","2","2","2","3",1051,2102,"U","2","02572","00135",""
"0100178.119","0100178.119.01","0100178","04","01","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,0,"-",3,"2","56","2","1","1","2","3","2","2","2","2","2","3","2","3","3","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","3","2","2","2","2","2","1","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","2",2,"2","","2","","2","2","2","2","2","2","2","2","2","3",1051,1051,"U","2","02572","00135",""
"0100178.148","0100178.148.01","0100178","05","01","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,0,"-",3,"1","49","1","1","1","1","3","1","1","1","1","2","2","1","1","1","1","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","2","3","2","2","2","3","2","3","2","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","3",1,"2","","2","","2","2","2","2","2","2","2","2","2","1",1051,2102,"U","2","02572","00135",""
"0100337.004","0100337.004.01","0100337","01","01","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,0,"-",1,"2","66","1","1","3","2","3","3","3","3","3","3","1","3","3","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","2","1","1","3","2","2","2","","","3","3","3","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0","1","0","0","0","0","1","1","0","0","1","0","0","0","4",1,"2","","2","","2","2","2","2","2","2","2","2","2","1",985,985,"U","3","02592","00136",""
"0100337.024","0100337.024.04","0100337","02","04","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,0,"-",1,"2","55","2","1","1","2","3","1","1","3","2","1","1","3","3","1","1","1","2","2","1","1","2","2","1","2","2","2","2","2","1","2","2","2","2","2","1","1","1","1","","","3","3","2","2","2","2","2","2","1","1","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","0","1","1","0","1","1","0","1","1","0","0","0","4",2,"2","","2","","2","2","2","2","2","2","2","2","2","1",985,5913,"U","3","02592","00136",""
"0100337.041","0100337.041.01","0100337","03","01","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,0,"-",1,"2","46","2","1","1","2","3","3","1","3","2","3","1","2","2","1","1","1","1","1","1","1","2","2","2","1","2","2","2","2","2","2","2","2","2","1","1","2","1","1","4","4","2","2","","","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","4",2,"2","","2","","2","2","2","2","2","2","2","2","2","1",985,985,"U","3","02592","00136",""
"0100337.058","0100337.058.01","0100337","04","01","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,0,"-",1,"1","75","1","1","3","1","3","1","1","1","1","1","1","3","3","3","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","","","","","","","2","2","","","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","1","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","2",2,"2","","2","","2","2","2","2","2","2","2","2","2","3",985,985,"U","3","02592","00136",""
"0100337.081","0100337.081.01","0100337","05","01","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,0,"-",1,"1","56","1","2","1","1","3","1","1","1","1","3","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","3",1,"2","","1","2","2","2","2","2","2","2","2","2","2","1",985,1971,"U","3","02592","00136",""
"0100359.012","0100359.012.02","0100359","02","02","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,0,"-",4,"1","39","1","1","1","2","3","2","2","1","2","3","1","2","2","2","1","1","1","1","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","1","1","1","1","1","4","4","2","2","1","1","1","2","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","4",1,"2","","2","","2","2","2","2","2","2","2","2","2","1",866,3463,"U","3","02593","00136",""
"0100359.028","0100359.028.01","0100359","03","01","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,0,"-",4,"2","74","2","1","3","2","3","2","2","2","2","1","3","3","3","3","1","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","","","","","","","","","","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2",2,"2","","2","","2","2","2","2","2","2","2","2","2","1",866,866,"U","3","02593","00136",""
"0100359.043","0100359.043.01","0100359","04","01","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,0,"-",4,"1","37","1","1","1","1","3","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","1","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","1","1","0","1","0","0","1","1","1","1","0","0","0","1","0","0","0","3",1,"2","","2","","2","2","2","2","2","2","2","2","2","1",866,2597,"U","3","02593","00136",""
"0100359.064","0100359.064.03","0100359","05","03","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,0,"-",4,"2","22","1","1","1","1","1","1","1","1","2","1","1","1","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","1","2","","","2","3","","","2","2","","","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","2",2,"2","","2","","1","2","2","1","2","2","2","2","2","1",866,2597,"U","3","02593","00136",""
"0100359.081","0100359.081.01","0100359","01","01","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,0,"-",4,"1","46","1","1","1","1","3","3","1","1","1","3","1","1","1","2","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","2","2","1","1","3","2","2","2","2","2","1","1","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","1","0","1","0","1","1","0","0","0","0","2",1,"1","2","2","","2","2","2","2","2","2","2","2","2","2",866,2597,"U","3","02593","00136",""
"0100368.003","0100368.003.03","0100368","04","03","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,0,"-",5,"1","41","1","1","1","1","3","1","1","2","2","3","2","2","3","4","1","1","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","2","2","2","3","1","2","1","2","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","1","0","1","0","1","0","1","0","1","0","0","0","2",1,"1","2","1","1","2","2","2","2","2","2","2","2","2","1",890,3560,"U","2","02573","00135",""
"0100368.026","0100368.026.01","0100368","05","01","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,1,"-",5,"1","57","1","1","1","1","3","1","1","1","1","1","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","9","9","1","2","1","2","1","3","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","",9,"2","","2","","2","2","2","2","2","2","2","2","2","1",890,1780,"U","2","02573","00135",""
"0100368.042","0100368.042.05","0100368","01","05","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,0,"-",5,"2","20","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","2","2","1","1","1","1","1","1","1","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","1","0","0","0","0","1","1","0","1","0","0","0","0","2",1,"2","","2","","1","2","2","1","2","2","2","2","1","1",890,3560,"U","2","02573","00135",""
"0100368.060","0100368.060.01","0100368","02","01","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,0,"-",5,"1","69","1","1","1","1","3","1","1","3","3","1","1","2","3","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","1","2","2","3","","","","","2","2","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","1",2,"2","","2","","2","2","2","2","2","2","2","2","2","1",890,890,"U","2","02573","00135",""
"0100368.083","0100368.083.01","0100368","03","01","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,0,"-",5,"2","59","2","2","2","2","3","2","2","2","2","2","3","2","2","4","1","1","1","1","1","2","2","2","1","2","2","2","2","2","2","2","2","2","2","1","1","1","1","2","3","2","2","3","1","1","2","2","","","1","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","1","0","0","1","0","0","0","0","1","0","1","1","0","0","0","0","3",1,"2","","2","","1","2","2","2","2","2","2","2","2","1",890,2670,"U","2","02573","00135",""
"0100391.279","0100391.279.04","0100391","04","04","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,0,"-",2,"2","27","1","1","1","1","1","1","1","1","2","3","1","2","1","3","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","","","3","2","2","1","2","2","3","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","2",2,"2","","2","","2","2","2","2","2","2","2","2","2","2",818,3271,"U","3","02594","00136",""
"0100391.342","0100391.342.01","0100391","02","01","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,0,"-",2,"2","47","2","2","3","2","3","2","2","2","2","2","2","2","3","1","1","1","1","2","2","2","2","2","1","1","2","1","2","2","2","2","2","2","2","1","1","1","1","2","1","1","1","1","4","4","4","4","","","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","2",1,"2","","2","","2","2","2","2","2","2","2","2","2","2",818,818,"U","3","02594","00136",""
"0100391.372","0100391.372.01","0100391","01","01","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,0,"-",2,"1","27","1","1","1","1","3","1","1","1","1","1","1","1","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","2","2","2","2","3","2","2","3","2","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2",1,"2","","2","","2","2","2","2","2","2","2","2","2","3",818,1636,"U","3","02594","00136",""
"0100391.434","0100391.434.01","0100391","03","01","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,0,"-",2,"2","46","1","1","1","1","3","1","1","1","1","3","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","1","2","1","1","1","2","2","","","3","3","2","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","3",2,"2","","2","","2","2","2","2","2","2","2","2","2","1",818,818,"U","3","02594","00136",""
