"","ID_VIV","ID_PER","UPM","VIV_SEL","R_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","LOC","CD","NOM_CD","PER","R_DEF","H_MUD","S_MUD","TIPO_CUEST","N_ENT","SEXO","EDAD","BP1_1","BP1_2_01","BP1_2_02","BP1_2_03","BP1_2_04","BP1_2_05","BP1_2_06","BP1_2_07","BP1_2_08","BP1_2_09","BP1_2_10","BP1_2_11","BP1_2_12","BP1_3","BP1_4_1","BP1_4_2","BP1_4_3","BP1_4_4","BP1_4_5","BP1_4_6","BP1_4_7","BP1_4_8","BP1_5_1","BP1_5_2","BP1_5_3","BP1_5_4","BP1_5_5","BP1_6_01","BP1_6_02","BP1_6_03","BP1_6_04","BP1_6_05","BP1_6_06","BP1_6_07","BP1_6_08","BP1_6_09","BP1_6_10","BP1_6_11","BP1_6_12","BP1_6_13","BP1_6_99","BP1_7_1","BP1_7_2","BP1_7_3","BP1_7_4","BP1_7_5","BP1_8_1","BP1_8_2","BP1_8_3","BP1_8_4","BP1_8_5","BP1_9_1","BP1_9_2","BP1_9_3","BP1_9_4","BP1_9_5","BP2_1","BP2_2_01","BP2_2_02","BP2_2_03","BP2_2_04","BP2_2_05","BP2_2_06","BP2_2_07","BP2_2_08","BP2_2_09","BP2_2_10","BP2_2_11","BP2_2_12","BP2_2_13","BP2_2_14","BP2_2_15","BP2_2_16","BP2_2_17","BP2_2_18","BP2_3_1","BP2_3_2","BP2_3_3","BP2_3_4","BP2_3_5","BP2_3_6","BP2_3_7","BP2_4_01","BP2_4_02","BP2_4_03","BP2_4_04","BP2_4_05","BP2_4_06","BP2_4_07","BP2_4_08","BP2_4_09","BP2_4_10","BP2_4_11","BP3_1_01","BP3_1_02","BP3_1_03","BP3_1_04","BP3_1_05","BP3_1_06","BP3_1_07","BP3_1_08","BP3_1_09","BP3_1_10","BP3_1_11","BP3_1_12","BP3_1_13","BP3_1_14","BP3_1_15","BP3_1_16","BP3_1_99","BP3_2","BP4_1","FAC_SEL","DOMINIO","EST","UPM_DIS","EST_DIS"
"10684","1401763.052","1401763.052.02","1401763","03","02","14","Jalisco","039","Guadalajara","0001","59","Guadalajara","0122","01",0,"0","-",2,"2","82","2","1","3","3","3","3","3","3","3","3","1","3","3","4","2","2","1","2","2","1","2","2","3","3","3","3","3","1","0","0","0","0","0","0","1","1","0","0","0","0","0","2","2","1","1","2","","","2","2","","","","2","2","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","1","1","0","1","1","1","0","1","0","0","0","3",4,6962,"U","3","24330","0670"
"10685","1401763.094","1401763.094.01","1401763","05","01","14","Jalisco","039","Guadalajara","0001","59","Guadalajara","0122","01",0,"0","-",2,"2","41","2","2","3","2","3","2","2","2","2","2","2","1","2","3","1","1","1","2","1","1","2","2","1","1","2","1","3","1","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","1","1","2","4","4","3","2","","4","4","2","2","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","0","0","1","0","1","1","1","0","1","0","0","0","4",1,6962,"U","3","24330","0670"
"10686","1401784.040","1401784.040.01","1401784","05","01","14","Jalisco","039","Guadalajara","0001","59","Guadalajara","0122","01",0,"0","-",2,"2","37","2","1","1","1","3","1","1","2","2","2","1","1","1","1","2","2","1","2","2","2","2","2","2","1","2","1","3","1","0","0","0","1","0","0","1","0","0","0","0","0","0","2","2","2","1","1","","","","2","2","","","","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","1","0","0","0","0","1","0","1","1","1","1","1","0","0","0","3",1,2283,"U","2","24340","0660"
"10687","1401784.060","1401784.060.02","1401784","03","02","14","Jalisco","039","Guadalajara","0001","59","Guadalajara","0122","01",0,"0","-",2,"1","18","2","1","3","2","3","2","1","2","2","2","2","1","1","3","2","2","1","2","2","2","2","2","1","1","1","3","3","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","1","1","3","3","2","1","1","3","3","2","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","0","0","0","1","1","1","0","0","0","0","0","3",1,4566,"U","2","24340","0660"
"10688","1401784.088","1401784.088.01","1401784","04","01","14","Jalisco","039","Guadalajara","0001","59","Guadalajara","0122","01",0,"0","-",2,"1","35","2","1","1","1","3","1","1","2","2","1","1","2","2","1","2","1","2","2","1","2","2","2","1","2","2","3","3","1","0","0","0","0","0","0","1","1","0","0","0","0","0","2","1","1","1","2","","2","1","1","","","2","1","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","1","0","1","0","0","0","0","1","0","0","0","1","0","0","0","2",1,2283,"U","2","24340","0660"
"10689","1401784.098","1401784.098.02","1401784","01","02","14","Jalisco","039","Guadalajara","0001","59","Guadalajara","0122","01",0,"0","-",2,"2","54","2","2","3","2","3","1","1","2","2","2","1","2","2","3","1","2","1","2","1","2","2","2","1","1","2","2","3","0","0","1","0","1","0","1","0","0","0","0","0","0","0","2","1","1","1","2","","3","2","2","","","3","2","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","1","1","1","0","1","0","0","1","0","1","1","1","0","0","0","3",2,11416,"U","2","24340","0660"
"10690","1401784.130","1401784.130.12","1401784","02","12","14","Jalisco","039","Guadalajara","0001","59","Guadalajara","0122","01",1,"1","-",2,"1","26","1","1","1","1","3","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","2","2","2","3","3","1","0","0","0","1","0","0","1","0","0","0","0","0","0","2","2","2","2","2","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","",1,2283,"U","2","24340","0660"
"10691","1401836.051","1401836.051.01","1401836","01","01","14","Jalisco","039","Guadalajara","0001","59","Guadalajara","0122","01",0,"0","-",1,"2","56","2","1","1","1","3","1","1","1","2","1","1","1","3","4","1","1","1","2","9","1","2","9","3","2","2","3","3","0","0","0","0","0","1","1","1","0","0","0","0","0","0","2","2","2","1","2","","","","3","","","","","4","","1","1","1","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","0","0","0","4",2,2129,"U","3","24350","0670"
"10692","1401836.059","1401836.059.03","1401836","02","03","14","Jalisco","039","Guadalajara","0001","59","Guadalajara","0122","01",0,"0","-",1,"1","24","1","1","1","1","3","2","1","1","1","2","1","1","1","2","2","1","2","1","1","2","2","2","2","1","1","3","3","0","0","1","0","0","1","0","1","0","0","0","0","0","0","2","1","1","1","1","","3","1","1","1","","3","1","1","1","1","1","0","1","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","1","0","0","1","1","0","1","0","0","0","0","3",1,6388,"U","3","24350","0670"
"10693","1401836.076","1401836.076.02","1401836","03","02","14","Jalisco","039","Guadalajara","0001","59","Guadalajara","0122","01",0,"0","-",1,"2","76","2","2","3","2","3","2","1","3","3","2","2","1","1","4","1","1","1","2","9","2","2","2","3","1","2","1","3","1","0","0","0","0","0","0","1","0","1","0","0","0","0","2","2","1","2","2","","","2","","","","","1","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","0","0","0","1","0","0","1","1","0","1","0","0","0","4",1,6388,"U","3","24350","0670"
"10694","1401836.092","1401836.092.01","1401836","04","01","14","Jalisco","039","Guadalajara","0001","59","Guadalajara","0122","01",0,"0","-",1,"1","68","2","1","1","1","3","1","1","1","3","3","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","3","0","1","0","0","0","0","0","1","0","1","0","0","0","0","2","1","1","1","1","","2","2","1","1","","2","2","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","1","0","0","0","1","0","1","1","1","0","0","0","0","0","3",2,4259,"U","3","24350","0670"
"10695","1401836.099","1401836.099.01","1401836","05","01","14","Jalisco","039","Guadalajara","0001","59","Guadalajara","0122","01",0,"0","-",1,"1","50","2","1","1","1","3","2","1","2","2","2","1","2","1","3","2","1","2","2","2","2","2","2","3","2","2","3","3","1","0","0","0","0","0","0","1","0","1","0","0","0","0","2","1","1","1","2","","3","2","2","","","2","2","2","","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","3",2,2129,"U","3","24350","0670"
"10696","1401914.009","1401914.009.02","1401914","02","02","14","Jalisco","039","Guadalajara","0001","59","Guadalajara","0122","01",0,"1","-",4,"2","49","2","2","3","2","3","2","2","2","2","2","2","2","2","4","2","1","1","2","1","1","2","1","1","1","1","3","3","1","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","4","3","4","4","4","4","4","4","4","4","1","1","1","1","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","1","1","1","1","0","0","0","4",1,9085,"U","3","24360","0670"
