"","ID_PER","ID_VIV","UPM","VIV_SEL","R_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","LOC","CD","NOM_CD","PER","R_DEF","H_MUD","S_MUD","TIPO_CUEST","N_ENT","SEXO","EDAD","BP1_1","BP1_2_01","BP1_2_02","BP1_2_03","BP1_2_04","BP1_2_05","BP1_2_06","BP1_2_07","BP1_2_08","BP1_2_09","BP1_2_10","BP1_2_11","BP1_2_12","BP1_3","BP1_4_1","BP1_4_2","BP1_4_3","BP1_4_4","BP1_4_5","BP1_4_6","BP1_4_7","BP1_4_8","BP1_5_1","BP1_5_2","BP1_5_3","BP1_5_4","BP1_5_5","BP1_6_1","BP1_6_2","BP1_6_3","BP1_6_4","BP1_6_5","BP1_6_6","BP1_7_1","BP1_7_2","BP1_7_3","BP1_7_4","BP1_7_5","BP1_8_1","BP1_8_2","BP1_8_3","BP1_8_4","BP1_8_5","BP1_9_1","BP1_9_2","BP1_9_3","BP1_9_4","BP1_9_5","BP2_1","BP2_2_01","BP2_2_02","BP2_2_03","BP2_2_04","BP2_2_05","BP2_2_06","BP2_2_07","BP2_2_08","BP2_2_09","BP2_2_10","BP2_2_11","BP2_2_12","BP2_2_13","BP2_2_14","BP2_2_15","BP2_2_16","BP2_2_17","BP2_2_18","BP2_3_1","BP2_3_2","BP2_3_3","BP2_3_4","BP2_3_5","BP2_3_6","BP2_3_7","BP2_4_01","BP2_4_02","BP2_4_03","BP2_4_04","BP2_4_05","BP2_4_06","BP2_4_07","BP2_4_08","BP2_4_09","BP2_4_10","BP2_4_11","BP3_1_01","BP3_1_02","BP3_1_03","BP3_1_04","BP3_1_05","BP3_1_06","BP3_1_07","BP3_1_08","BP3_1_09","BP3_1_10","BP3_1_11","BP3_1_12","BP3_1_13","BP3_1_14","BP3_1_15","BP3_1_16","BP3_1_99","BP3_2","BP3_3","BP3_4","BP3_5","BP3_6","BP4_1_1","BP4_1_2","BP4_1_3","BP4_1_4","BP4_1_5","BP4_1_6","BP4_1_7","BP4_1_8","BP4_1_9","BP5_1","DOMINIO","FAC_SEL","UPM_DIS","EST","EST_DIS"
"9644","1201396.088.04","1201396.088","1201396","05","04","12","Guerrero","001","Acapulco de Juarez","0001","21","Acapulco","0421","01",0,"0","-",1,"2","29","2","1","1","2","3","2","1","2","2","2","1","1","1","3","2","1","1","2","1","1","2","2","1","2","2","2","2","2","2","2","1","2","2","1","1","1","1","1","4","4","2","3","2","4","4","2","3","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","1","1","1","0","0","1","1","1","0","0","0","0","0","3","2","","2","","2","2","2","2","2","2","2","2","2","1","U",5071,"22090","1","1330"
"9645","1201396.099.01","1201396.099","1201396","03","01","12","Guerrero","001","Acapulco de Juarez","0001","21","Acapulco","0421","01",0,"0","-",1,"2","24","2","1","1","2","3","2","1","2","2","2","3","2","2","3","2","1","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","","","","2","2","","","","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","1","1","0","1","1","0","1","1","0","0","0","4","2","","2","","2","2","2","2","2","2","2","2","2","3","U",1268,"22090","1","1330"
"9646","1201404.035.02","1201404.035","1201404","01","02","12","Guerrero","001","Acapulco de Juarez","0001","21","Acapulco","0421","01",0,"0","-",4,"2","53","1","1","1","1","3","1","1","1","1","1","1","1","1","2","2","1","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","2","2","2","1","2","2","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","0","1","1","0","1","1","0","0","0","2","2","","2","","2","2","2","2","2","2","2","2","2","1","U",1924,"22100","2","1340"
"9647","1201404.133.01","1201404.133","1201404","04","01","12","Guerrero","001","Acapulco de Juarez","0001","21","Acapulco","0421","01",0,"0","-",4,"2","61","2","1","2","2","3","2","1","2","2","2","1","2","2","3","2","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","2","2","2","1","1","1","1","1","3","3","2","2","2","4","3","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","1","1","1","0","0","1","0","1","0","1","0","0","0","2","1","1","2","","2","2","2","2","2","2","2","1","2","2","U",962,"22100","2","1340"
"9648","1201423.003.01","1201423.003","1201423","05","01","12","Guerrero","001","Acapulco de Juarez","0001","21","Acapulco","0421","01",0,"0","-",2,"1","79","1","1","3","1","3","1","1","1","3","1","3","3","1","4","2","2","2","2","2","2","2","1","3","2","2","3","9","2","2","2","2","2","2","1","2","2","1","1","2","","","1","1","2","","","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","3","2","","2","","2","2","2","2","2","2","2","2","2","1","U",2132,"22110","2","1340"
"9649","1201423.015.02","1201423.015","1201423","01","02","12","Guerrero","001","Acapulco de Juarez","0001","21","Acapulco","0421","01",0,"0","-",2,"2","54","2","1","1","1","3","1","1","1","1","1","2","2","1","3","2","2","2","2","2","1","2","2","3","1","2","1","9","2","2","2","2","2","2","1","1","1","1","1","2","3","3","3","3","3","3","3","3","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","1","0","0","1","0","0","0","1","1","0","0","0","0","0","0","3","1","2","2","","2","2","2","2","2","2","2","2","2","1","U",4264,"22110","2","1340"
"9650","1201423.035.02","1201423.035","1201423","02","02","12","Guerrero","001","Acapulco de Juarez","0001","21","Acapulco","0421","01",0,"0","-",2,"2","59","2","1","3","2","3","1","1","2","2","2","1","2","1","1","2","2","2","2","2","2","2","2","3","2","1","3","9","2","2","2","2","2","2","1","1","1","1","1","3","3","2","2","1","3","3","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0","1","0","1","1","0","1","0","1","1","1","0","0","0","3","1","2","2","","2","2","2","2","2","2","2","2","2","1","U",4264,"22110","2","1340"
"9651","1201423.062.01","1201423.062","1201423","03","01","12","Guerrero","001","Acapulco de Juarez","0001","21","Acapulco","0421","01",0,"0","-",2,"2","53","2","1","1","1","3","1","1","1","2","1","3","1","1","2","1","1","2","2","1","2","2","1","3","2","2","1","9","2","2","2","2","2","2","2","2","1","1","1","","","2","2","1","","","1","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","4","2","","2","","2","2","2","2","2","2","2","2","2","1","U",3198,"22110","2","1340"
"9652","1201423.086.02","1201423.086","1201423","04","02","12","Guerrero","001","Acapulco de Juarez","0001","21","Acapulco","0421","01",0,"0","-",2,"1","60","2","2","2","2","3","2","1","3","2","2","2","2","1","4","1","1","1","2","1","1","2","1","3","1","1","3","9","2","2","2","2","2","2","1","2","1","1","1","4","","3","3","3","4","","4","2","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","1","1","1","1","0","1","1","1","1","1","0","0","0","4","2","","2","","2","2","2","2","2","2","2","2","2","2","U",2132,"22110","2","1340"
"9653","1201427.003.04","1201427.003","1201427","04","04","12","Guerrero","001","Acapulco de Juarez","0001","21","Acapulco","0421","01",0,"0","-",3,"2","21","1","1","3","1","3","1","1","2","2","1","1","1","1","2","2","2","2","2","2","2","2","2","3","2","2","2","9","2","2","2","2","2","2","1","1","1","1","1","3","2","1","1","1","3","3","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","1","0","0","0","0","1","0","0","0","1","1","0","0","0","2","2","","2","","2","2","2","2","2","2","2","1","2","1","U",4925,"22120","2","1340"
"9654","1201427.020.01","1201427.020","1201427","02","01","12","Guerrero","001","Acapulco de Juarez","0001","21","Acapulco","0421","01",0,"0","-",3,"1","66","2","1","3","2","3","2","1","1","2","1","1","1","3","3","2","2","2","2","9","2","2","9","2","2","2","3","9","2","2","2","2","2","2","1","9","1","1","1","2","","2","1","2","2","","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","0","1","0","1","1","0","1","0","1","0","1","0","0","0","3","2","","2","","2","2","2","2","2","2","2","2","2","1","U",4925,"22120","2","1340"
"9655","1201427.044.01","1201427.044","1201427","03","01","12","Guerrero","001","Acapulco de Juarez","0001","21","Acapulco","0421","01",0,"0","-",3,"1","60","2","1","1","1","3","1","1","2","2","1","1","1","3","3","2","2","2","2","2","1","2","2","3","2","2","2","9","2","2","2","2","2","2","1","1","1","1","1","2","2","1","1","1","2","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","0","1","0","0","0","0","1","0","1","1","1","0","0","0","3","2","","2","","2","2","2","2","2","2","2","2","2","1","U",2955,"22120","2","1340"
"9656","1201427.066.01","1201427.066","1201427","01","01","12","Guerrero","001","Acapulco de Juarez","0001","21","Acapulco","0421","01",0,"0","-",3,"2","80","2","1","3","1","3","1","3","3","3","1","1","3","3","2","2","2","2","2","2","2","2","9","3","2","2","3","9","2","2","2","2","2","2","1","1","2","1","1","3","3","","2","2","3","2","","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","3","2","","2","","2","2","2","2","2","2","2","2","2","3","U",985,"22120","2","1340"
"9657","1201427.096.02","1201427.096","1201427","05","02","12","Guerrero","001","Acapulco de Juarez","0001","21","Acapulco","0421","01",0,"0","-",3,"2","40","2","1","3","1","3","1","1","2","2","2","2","2","2","4","2","2","2","2","2","2","2","9","3","3","2","2","9","2","2","2","2","2","2","2","2","1","1","1","","","2","2","1","","","2","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","1","1","0","1","0","0","1","1","0","1","1","0","0","0","2","1","2","2","","2","2","2","2","2","2","2","2","2","3","U",1970,"22120","2","1340"
"9658","1201518.028.01","1201518.028","1201518","02","01","12","Guerrero","001","Acapulco de Juarez","0001","21","Acapulco","0421","01",0,"0","-",3,"1","41","2","1","2","2","3","2","1","2","2","2","1","1","3","1","2","1","2","2","2","1","2","2","2","2","2","3","2","2","2","1","2","2","2","1","1","1","1","1","4","4","1","1","1","4","4","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","0","1","0","1","1","1","0","0","0","4","2","","2","","2","2","2","2","2","2","2","2","2","1","U",1182,"22130","1","1330"
"9659","1201518.034.01","1201518.034","1201518","05","01","12","Guerrero","001","Acapulco de Juarez","0001","21","Acapulco","0421","01",0,"0","-",3,"2","54","2","1","1","2","3","2","1","2","2","2","3","2","2","3","1","1","2","1","1","1","2","1","2","2","2","3","2","2","2","2","2","2","2","1","1","1","1","1","3","4","3","2","2","3","3","2","2","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","1","1","1","0","1","0","1","0","0","0","4","2","","2","","2","2","2","2","2","2","2","2","2","1","U",2364,"22130","1","1330"
"9660","1201518.040.03","1201518.040","1201518","04","03","12","Guerrero","001","Acapulco de Juarez","0001","21","Acapulco","0421","01",0,"0","-",3,"1","48","1","1","1","1","3","1","1","1","1","3","1","1","3","1","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","1","1","1","1","","2","2","1","1","","1","2","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","1","0","1","1","1","0","1","0","0","0","1","0","0","0","4","1","2","2","","1","2","2","2","2","2","2","2","2","1","U",3547,"22130","1","1330"
"9661","1201518.060.06","1201518.060","1201518","03","06","12","Guerrero","001","Acapulco de Juarez","0001","21","Acapulco","0421","01",0,"1","-",3,"1","19","1","2","2","2","3","2","2","3","3","2","3","2","3","3","1","1","1","1","1","1","2","1","2","2","2","3","2","2","2","2","1","2","1","1","2","1","1","1","3","","2","1","1","3","","2","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","1","0","0","1","1","0","1","1","1","0","1","1","1","0","0","0","3","2","","1","1","2","2","2","2","2","2","2","2","2","1","U",1182,"22130","1","1330"
"9662","1201603.048.02","1201603.048","1201603","03","02","12","Guerrero","001","Acapulco de Juarez","0001","21","Acapulco","0421","01",0,"0","-",4,"1","47","1","1","1","1","3","1","1","1","1","1","1","1","1","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","3","3","1","1","1","3","3","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","4","2","","2","","2","2","2","2","2","2","2","2","2","1","U",4451,"22140","1","1330"
