"","ID_VIV","ID_PER","UPM","VIV_SEL","R_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","LOC","CD","NOM_CD","PER","R_DEF","H_MUD","S_MUD","TIPO_CUEST","N_ENT","SEXO","EDAD","BP1_1","BP1_2_01","BP1_2_02","BP1_2_03","BP1_2_04","BP1_2_05","BP1_2_06","BP1_2_07","BP1_2_08","BP1_2_09","BP1_2_10","BP1_2_11","BP1_2_12","BP1_3","BP1_4_1","BP1_4_2","BP1_4_3","BP1_4_4","BP1_4_5","BP1_4_6","BP1_4_7","BP1_4_8","BP1_5_1","BP1_5_2","BP1_5_3","BP1_5_4","BP1_5_5","BP1_6_1","BP1_6_2","BP1_6_3","BP1_6_4","BP1_6_5","BP1_6_6","BP1_7_1","BP1_7_2","BP1_7_3","BP1_7_4","BP1_7_5","BP1_8_1","BP1_8_2","BP1_8_3","BP1_8_4","BP1_8_5","BP1_9_1","BP1_9_2","BP1_9_3","BP1_9_4","BP1_9_5","BP2_1","BP2_2_01","BP2_2_02","BP2_2_03","BP2_2_04","BP2_2_05","BP2_2_06","BP2_2_07","BP2_2_08","BP2_2_09","BP2_2_10","BP2_2_11","BP2_2_12","BP2_2_13","BP2_2_14","BP2_2_15","BP2_2_16","BP2_2_17","BP2_2_18","BP2_3_1","BP2_3_2","BP2_3_3","BP2_3_4","BP2_3_5","BP2_3_6","BP2_3_7","BP2_4_01","BP2_4_02","BP2_4_03","BP2_4_04","BP2_4_05","BP2_4_06","BP2_4_07","BP2_4_08","BP2_4_09","BP2_4_10","BP2_4_11","BP3_1_01","BP3_1_02","BP3_1_03","BP3_1_04","BP3_1_05","BP3_1_06","BP3_1_07","BP3_1_08","BP3_1_09","BP3_1_10","BP3_1_11","BP3_1_12","BP3_1_13","BP3_1_14","BP3_1_15","BP3_1_16","BP3_1_99","BP3_2","BP3_3","BP3_4","BP3_5","BP3_6","BP4_1_1","BP4_1_2","BP4_1_3","BP4_1_4","BP4_1_5","BP4_1_6","BP4_1_7","BP4_1_8","BP4_1_9","BP5_1","FAC_SEL","DOMINIO","EST","UPM_DIS","EST_DIS"
"25","0100595.089","0100595.089.04","0100595","03","04","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0221","01",0,0,"-",3,"2","18","1","1","3","1","3","1","1","1","1","1","3","1","1","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","1","1","1","2","2","2","2","1","","","2","2","1","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","2","2","","2","","2","2","2","2","2","2","2","2","2","1",3030,"U","2","00070","1370"
"26","0100595.110","0100595.110.01","0100595","04","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0221","01",0,0,"-",3,"1","44","2","1","1","1","3","3","3","2","3","3","1","2","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","4","3","2","1","1","4","2","2","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","1","1","1","0","1","1","1","0","1","0","1","0","0","0","2","2","","2","","2","2","2","2","2","2","2","2","2","1",3030,"U","2","00070","1370"
"27","0100747.011","0100747.011.02","0100747","04","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0221","01",0,0,"-",5,"1","35","1","2","1","1","3","2","2","2","2","1","1","2","2","1","2","2","2","2","1","2","2","2","1","2","2","2","3","2","2","2","2","2","2","1","1","1","1","2","4","3","2","2","","4","3","2","2","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","4","2","","2","","1","2","2","2","2","2","2","2","2","1",2006,"U","2","00080","1370"
"28","0100747.033","0100747.033.01","0100747","05","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0221","01",0,1,"-",5,"1","55","1","1","1","1","3","1","1","1","1","1","1","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","2","2","1","2","","","","2","9","","","","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","1","1","1","1","1","0","0","0","0","1","1","0","0","1","0","0","0","2","2","","2","","2","2","2","2","2","2","2","2","2","1",2006,"U","2","00080","1370"
"29","0100747.057","0100747.057.01","0100747","01","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0221","01",0,0,"-",5,"1","47","2","1","1","2","3","2","2","2","2","3","2","2","2","4","1","1","2","1","1","2","2","2","1","1","2","2","3","2","2","1","2","2","2","2","2","1","1","1","","","2","2","3","","","2","1","2","1","1","0","1","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","3","2","","2","","2","2","1","2","2","2","2","2","2","1",1003,"U","2","00080","1370"
"30","0100747.080","0100747.080.02","0100747","02","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0221","01",0,0,"-",5,"2","46","9","2","1","2","3","1","1","2","2","1","1","1","1","9","1","1","2","1","1","2","2","2","2","1","2","2","2","2","2","2","2","2","2","1","1","2","1","2","2","2","","2","","2","2","","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","0","0","0","0","0","1","1","0","1","1","0","0","0","3","2","","2","","2","2","2","2","2","2","2","2","2","1",3010,"U","2","00080","1370"
"31","0100747.102","0100747.102.02","0100747","03","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0221","01",0,0,"-",5,"2","25","1","1","3","1","3","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","1","0","0","0","1","1","0","0","0","0","0","0","2","2","","2","","1","2","2","2","2","2","2","2","2","1",2006,"U","2","00080","1370"
"32","0100768.016","0100768.016.02","0100768","04","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0221","01",0,0,"-",1,"1","49","1","1","1","1","3","1","1","1","1","3","1","1","1","2","1","1","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","9","9","2","1","9","2","1","2","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","2","","1","2","2","2","2","2","2","2","2","2","2","1",4155,"U","2","00090","1370"
"33","0100768.036","0100768.036.01","0100768","05","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0221","01",0,0,"-",1,"2","52","2","2","3","2","3","2","2","2","2","2","2","2","3","4","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","4","2","","2","","2","2","2","2","2","2","2","2","2","3",1039,"U","2","00090","1370"
"34","0100768.057","0100768.057.01","0100768","01","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0221","01",0,0,"-",1,"2","27","1","1","1","1","3","1","1","3","3","3","1","1","1","4","1","1","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","9","9","9","9","9","4","4","2","3","9","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0","1","0","0","0","0","1","0","1","0","0","0","0","0","4","1","1","2","","2","2","2","2","2","2","2","2","2","1",1039,"U","2","00090","1370"
"35","0100768.075","0100768.075.03","0100768","02","03","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0221","01",0,0,"-",1,"2","46","1","1","1","1","3","1","1","1","1","3","1","1","1","1","2","1","2","2","2","1","2","2","2","2","2","2","3","2","2","2","2","2","2","2","1","1","2","1","","2","2","","2","","2","1","","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","4","2","","2","","2","2","2","2","2","2","2","2","2","1",3116,"U","2","00090","1370"
"36","0100768.097","0100768.097.01","0100768","03","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0221","01",0,0,"-",1,"2","47","2","2","1","2","3","2","2","2","2","3","2","2","2","3","1","1","1","1","1","1","2","2","1","2","2","2","2","2","2","1","1","2","1","1","2","1","1","2","4","","4","9","","4","","4","3","","1","0","0","1","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","1","0","1","0","0","0","0","1","1","1","1","1","0","0","0","3","2","","2","","2","2","2","2","2","2","2","2","2","1",2078,"U","2","00090","1370"
