"","ID_VIV","ID_PER","UPM","VIV_SEL","R_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","LOC","CD","NOM_CD","PER","R_DEF","H_MUD","S_MUD","TIPO_CUEST","N_ENT","SEXO","EDAD","BP1_1","BP1_2_01","BP1_2_02","BP1_2_03","BP1_2_04","BP1_2_05","BP1_2_06","BP1_2_07","BP1_2_08","BP1_2_09","BP1_2_10","BP1_2_11","BP1_2_12","BP1_3","BP1_4_1","BP1_4_2","BP1_4_3","BP1_4_4","BP1_4_5","BP1_4_6","BP1_4_7","BP1_4_8","BP1_5_1","BP1_5_2","BP1_5_3","BP1_5_4","BP1_5_5","BP1_6_01","BP1_6_02","BP1_6_03","BP1_6_04","BP1_6_05","BP1_6_06","BP1_6_07","BP1_6_08","BP1_6_09","BP1_6_10","BP1_6_11","BP1_6_12","BP1_6_13","BP1_6_99","BP1_7_1","BP1_7_2","BP1_7_3","BP1_7_4","BP1_7_5","BP1_8_1","BP1_8_2","BP1_8_3","BP1_8_4","BP1_8_5","BP1_9_1","BP1_9_2","BP1_9_3","BP1_9_4","BP1_9_5","BP2_1","BP2_2_01","BP2_2_02","BP2_2_03","BP2_2_04","BP2_2_05","BP2_2_06","BP2_2_07","BP2_2_08","BP2_2_09","BP2_2_10","BP2_2_11","BP2_2_12","BP2_2_13","BP2_2_14","BP2_2_15","BP2_2_16","BP2_2_17","BP2_2_18","BP2_3_1","BP2_3_2","BP2_3_3","BP2_3_4","BP2_3_5","BP2_3_6","BP2_3_7","BP2_4_01","BP2_4_02","BP2_4_03","BP2_4_04","BP2_4_05","BP2_4_06","BP2_4_07","BP2_4_08","BP2_4_09","BP2_4_10","BP2_4_11","BP3_1_01","BP3_1_02","BP3_1_03","BP3_1_04","BP3_1_05","BP3_1_06","BP3_1_07","BP3_1_08","BP3_1_09","BP3_1_10","BP3_1_11","BP3_1_12","BP3_1_13","BP3_1_14","BP3_1_15","BP3_1_16","BP3_1_99","BP3_2","BP3_2A","BP4_1_1","BP4_1_2","BP4_1_3","FAC_VIV","FAC_SEL","DOMINIO","EST","UPM_DIS","EST_DIS","REG_CD"
"19999","2600408.042","2600408.042.01","2600408","05","01","26","SONORA","018","CAJEME","0001","94","CIUDAD OBREGON","0123","01",0,0,"-",1,"2","45","2","1","1","2","3","2","2","2","2","2","1","2","3","3","2","1","1","2","1","1","2","2","1","2","2","2","3","0","0","1","0","1","0","0","1","0","0","0","0","0","0","1","1","1","1","1","3","3","3","3","3","4","3","3","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","1","1","1","1","1","0","0","0","0","1","1","1","1","1","0","0","0","3",1,"07","06","06",405,1214,"U","3","04577","0262",""
"20000","2600408.061","2600408.061.02","2600408","01","02","26","SONORA","018","CAJEME","0001","94","CIUDAD OBREGON","0123","01",0,0,"-",1,"2","40","2","2","2","2","3","2","2","2","2","2","2","2","2","4","1","1","1","1","1","1","2","2","1","1","1","1","3","0","1","1","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","4","4","4","4","4","4","4","4","4","4","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0","1","1","1","1","0","1","1","1","1","1","0","0","0","4",2,"10","04","04",405,809,"U","3","04577","0262",""
"20001","2600423.012","2600423.012.04","2600423","04","04","26","SONORA","018","CAJEME","0001","94","CIUDAD OBREGON","0123","01",1,1,"-",2,"2","41","2","1","3","2","3","1","1","1","1","3","2","2","3","3","1","1","2","2","1","1","2","2","1","1","2","1","3","0","0","1","0","1","0","0","1","0","0","0","0","0","0","1","1","1","1","1","3","3","4","3","4","2","2","2","2","4","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","3",2,"05","03","03",389,389,"U","3","04578","0262",""
"20002","2600423.033","2600423.033.01","2600423","05","01","26","SONORA","018","CAJEME","0001","94","CIUDAD OBREGON","0123","01",0,0,"-",2,"2","31","2","2","2","2","3","2","2","2","2","2","2","2","2","3","1","1","1","1","1","1","2","2","1","1","1","1","3","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","0","0","0","1","1","0","1","1","1","0","0","0","2",2,"10","10","10",389,389,"U","3","04578","0262",""
"20003","2600423.050","2600423.050.02","2600423","01","02","26","SONORA","018","CAJEME","0001","94","CIUDAD OBREGON","0123","01",0,0,"-",2,"1","28","2","1","1","2","3","2","2","2","2","2","2","2","2","3","1","1","1","1","1","1","2","2","1","1","2","1","3","1","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","3","2","2","1","1","2","2","1","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","0","0","1","0","1","0","1","0","0","0","0","0","3",2,"10","08","06",389,778,"U","3","04578","0262",""
"20004","2600423.066","2600423.066.01","2600423","02","01","26","SONORA","018","CAJEME","0001","94","CIUDAD OBREGON","0123","01",0,0,"-",2,"1","40","2","2","2","2","3","2","2","2","2","2","2","2","2","3","1","1","2","1","1","1","2","2","2","2","2","1","3","0","0","1","0","1","0","0","1","0","0","0","0","0","0","1","1","1","1","1","2","1","3","1","1","2","1","2","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","0","1","1","1","1","1","0","0","0","0","0","2",1,"10","10","08",389,778,"U","3","04578","0262",""
"20005","2600423.081","2600423.081.01","2600423","03","01","26","SONORA","018","CAJEME","0001","94","CIUDAD OBREGON","0123","01",0,0,"-",2,"2","23","2","1","1","1","3","1","1","1","1","1","2","2","1","1","1","1","1","2","2","2","2","2","1","2","2","2","3","0","0","1","0","0","0","0","1","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","2",1,"08","08","08",389,389,"U","3","04578","0262",""
"20006","2600426.010","2600426.010.01","2600426","05","01","26","SONORA","018","CAJEME","0001","94","CIUDAD OBREGON","0123","01",0,0,"-",4,"1","46","1","1","1","1","3","1","1","1","1","1","1","1","1","4","2","2","2","2","2","2","2","2","2","2","2","2","3","0","0","1","0","0","0","0","1","1","0","0","0","0","0","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0","1","0","0","0","0","1","0","1","0","1","0","0","0","2",1,"10","08","08",547,1095,"U","2","04579","0261",""
"20007","2600426.036","2600426.036.02","2600426","01","02","26","SONORA","018","CAJEME","0001","94","CIUDAD OBREGON","0123","01",0,0,"-",4,"1","37","1","1","1","1","3","1","1","3","3","1","1","2","1","2","2","2","2","2","2","2","2","2","3","2","2","1","3","0","0","1","0","0","0","0","1","1","0","0","0","0","0","1","1","1","1","2","1","1","2","2","","1","1","2","2","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","2",1,"10","08","08",547,1095,"U","2","04579","0261",""
"20008","2600426.058","2600426.058.02","2600426","02","02","26","SONORA","018","CAJEME","0001","94","CIUDAD OBREGON","0123","01",0,0,"-",4,"2","48","2","2","3","2","3","2","2","2","2","2","2","2","2","4","1","1","1","1","1","1","2","2","1","1","1","1","3","1","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","4","4","4","4","4","4","4","4","4","4","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","0","0","1","0","1","1","1","1","1","0","0","0","4",2,"02","00","00",547,1095,"U","2","04579","0261",""
